OverallQual,GrLivArea,GarageArea,TotalBsmtSF,FullBath,MasVnrArea,Fireplaces,BsmtFinSF1,LotFrontage,WoodDeckSF,2ndFlrSF,OpenPorchSF,HalfBath,property_age,year_since_remod,ExterQual,KitchenQual,BsmtQual,HeatingQC,BsmtExposure,BsmtFinType1,GarageFinish,PavedDrive,LotShape,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,CentralAir,Neighborhood,SalePrice_log
6,1004,480,1004,1,180.0,1,578,73.0,0,0,0,0,40,40,3.0,3.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.911701584927597
4,1296,516,0,2,0.0,0,0,72.0,0,0,0,0,39,39,3.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.407564949312402
5,1114,576,1114,1,0.0,0,646,66.0,0,0,102,1,4,4,3.0,4.0,3.0,5.0,1.0,6.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,11.976659481202368
5,1339,294,1029,1,0.0,0,504,70.0,0,0,0,0,51,44,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11.842229212112828
8,2376,853,1158,3,380.0,1,0,101.0,240,1218,154,1,1,0,4.0,4.0,5.0,5.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5,12.692503112461443
7,1108,280,637,1,0.0,1,0,57.0,0,0,0,0,77,57,3.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.845102777308561
8,1795,534,1777,2,281.0,1,0,75.0,171,0,159,0,6,6,4.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.345834587905333
5,1060,572,1040,1,0.0,1,840,44.0,100,0,110,0,31,31,3.0,3.0,4.0,3.0,1.0,6.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.77452020265869
5,1060,270,1060,1,0.0,1,188,71.0,406,0,90,0,42,9,3.0,4.0,3.0,5.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.944707881395766
8,1600,890,1566,2,640.0,1,0,110.0,0,0,56,0,2,2,4.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.454103912352162
5,900,576,900,1,0.0,0,234,60.0,222,0,32,0,59,10,3.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.811547477460344
8,1704,772,1704,2,200.0,1,1218,98.0,0,0,50,0,3,2,4.0,4.0,5.0,5.0,1.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.631340380934517
5,1600,319,1484,1,0.0,2,1277,47.0,288,0,258,0,49,9,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,12.24288661865289
4,520,240,520,1,0.0,0,0,60.0,49,0,0,0,81,58,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,11.134589024250317
4,1317,250,649,1,0.0,0,0,50.0,0,668,54,0,88,58,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,10.596634733096073
5,1228,271,1228,1,0.0,0,0,71.0,0,0,65,1,42,2,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.914047823644255
8,1234,484,1234,2,0.0,0,0,85.0,0,0,30,0,1,1,4.0,4.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.100156419938624
5,1700,447,1398,1,0.0,1,1018,70.0,0,0,38,1,51,51,3.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,12.016726473799254
9,1561,556,1561,2,246.0,1,1153,60.0,203,0,47,0,2,2,5.0,5.0,5.0,5.0,1.0,6.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.533576212168626
8,2452,691,1117,3,132.0,1,0,108.0,113,1320,32,1,2,1,4.0,4.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.641096555879882
5,1097,672,1097,1,0.0,0,0,112.0,392,0,64,1,15,14,3.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,11.884489021402711
5,1297,498,1297,1,650.0,1,1213,74.0,0,0,0,0,55,19,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.938193200374572
5,1057,246,1057,1,0.0,0,731,68.0,0,0,52,0,57,3,3.0,4.0,3.0,3.0,1.0,6.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11.59910316121128
4,1152,0,0,2,0.0,0,0,65.0,0,0,0,0,53,53,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,11.314474526246391
6,1324,440,1088,2,101.0,1,643,84.0,0,0,138,0,41,41,3.0,3.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,11.982929094215963
5,1328,308,1350,1,0.0,2,967,115.0,0,0,104,1,48,48,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,12.043553716032399
5,884,504,840,1,0.0,0,747,66.5,240,0,0,0,24,24,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,11.877568578558138
5,938,308,938,1,0.0,0,280,70.0,145,0,0,0,33,28,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,11.777210959615614
5,1150,300,1150,1,0.0,0,179,70.0,0,0,0,0,47,47,3.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.856515169360305
9,1752,576,1752,2,412.0,1,456,61.0,196,0,82,0,5,5,5.0,5.0,5.0,5.0,1.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.675763725937609
7,2149,670,1434,1,0.0,1,1351,48.0,168,631,43,1,6,6,4.0,4.0,5.0,5.0,1.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,12.387085012375499
8,1656,826,1656,2,0.0,0,24,84.0,0,0,146,0,1,1,4.0,4.0,4.0,5.0,3.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,12.428015476267865
4,1452,0,736,2,0.0,0,0,33.0,0,716,0,0,89,1,3.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,11.635143097694478
5,955,386,955,1,0.0,0,763,66.0,0,0,0,0,41,41,3.0,3.0,3.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.751942365440728
6,1470,388,794,2,0.0,0,182,65.0,0,676,75,0,10,10,3.0,3.0,4.0,4.0,3.0,6.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.083905011555967
6,1176,528,816,1,0.0,1,0,52.0,112,0,0,0,72,56,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.648330101976432
5,816,516,816,1,0.0,0,104,110.0,106,0,0,0,47,47,2.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,11.608235644774552
9,1842,894,1842,0,0.0,1,1810,68.0,857,0,72,1,25,19,4.0,4.0,5.0,4.0,4.0,6.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,12.86099861326992
5,1360,572,384,1,0.0,1,384,60.0,0,0,50,0,52,52,3.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.77528972943772
6,1425,576,1425,2,272.0,1,490,100.0,0,0,0,0,44,44,3.0,3.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,12.103486056755072
8,1739,480,970,2,456.0,0,649,24.0,115,756,0,1,10,9,4.0,4.0,4.0,5.0,1.0,6.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,12.058152515453552
7,1720,565,860,2,0.0,0,0,89.0,0,860,70,1,2,2,4.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.188417710291453
10,2945,641,1410,3,1031.0,1,0,66.0,192,1519,0,1,0,0,5.0,4.0,5.0,5.0,4.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5,12.991753427493052
5,780,352,780,1,0.0,0,632,60.0,196,0,0,0,36,36,3.0,3.0,3.0,5.0,3.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,11.73526869611367
6,1158,576,1158,1,0.0,0,941,63.0,0,0,50,1,2,2,3.0,4.0,4.0,5.0,1.0,5.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3,11.970350312009105
5,1111,288,530,1,0.0,0,0,60.0,0,530,0,0,87,11,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,11.522875795823397
8,1370,484,1370,2,178.0,1,24,44.0,120,0,49,0,1,1,4.0,4.0,4.0,5.0,2.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.218495165528731
7,1710,480,576,2,0.0,0,0,50.0,12,808,11,0,89,60,3.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.84939770159144
7,2034,645,1057,2,573.0,0,739,70.0,576,977,36,1,12,11,3.0,4.0,4.0,5.0,1.0,6.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.299107511497363
8,2473,852,1143,2,344.0,1,0,76.0,192,1330,151,1,3,2,4.0,4.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,12.666657052859417
7,2207,576,1947,2,287.0,1,912,73.0,301,0,0,0,40,21,3.0,3.0,4.0,3.0,4.0,6.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,12.100712129872347
7,1479,558,1453,2,167.0,0,1013,72.0,144,0,29,0,4,4,4.0,4.0,4.0,5.0,3.0,6.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.328290278254423
4,747,220,747,1,0.0,0,0,47.0,0,0,0,0,65,60,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.289781913656018
7,2287,667,1304,2,0.0,1,603,81.0,0,983,21,0,53,53,4.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4,12.323855681186558
7,2223,516,2223,2,1115.0,2,1880,95.0,300,0,0,0,34,34,3.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,12.404923504275338
4,845,360,845,1,0.0,0,565,69.0,0,0,0,0,25,1,3.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.771436160121729
7,1718,427,832,2,40.0,1,0,74.0,0,833,94,1,11,11,3.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,12.128111104060462
5,1086,490,1086,1,104.0,0,320,85.0,0,0,0,0,56,7,3.0,3.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.883799128308773
3,1605,379,840,2,0.0,0,0,60.0,0,765,0,0,95,60,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,11.584315461056901
4,988,297,462,1,0.0,0,462,21.0,120,462,101,0,36,36,3.0,3.0,4.0,3.0,4.0,6.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.418614785498987
4,952,283,952,1,0.0,0,228,73.0,0,0,0,0,52,52,3.0,3.0,3.0,5.0,1.0,5.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,11.818570237796182
5,1285,240,672,1,0.0,0,336,50.0,0,213,0,0,60,7,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.751942365440728
4,1768,0,1768,2,0.0,0,0,72.0,0,0,0,0,42,42,3.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,11.824079893607152
5,1230,440,440,1,0.0,0,0,60.0,74,548,0,1,99,28,3.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,11.608235644774552
